agent,n_episodes,P,M,D,share_exhaustion,D_all,scenario,M_per_product,D_per_product,break_even_m,break_even_h
dql_mlp_last,5,1583.4,3453.6,369.6,,369.6,baseline,2.181129215611974,0.23342175066312998,0.4584781097984712,4.284090909090909
ft_gini_last,5,1438.4,3599.8,410.0,,410.0,baseline,2.502641824249166,0.2850389321468298,0.39957775431968445,3.5082926829268293
least_busy,5,1428.6,3344.0,337.8,0.497927767910006,337.8,baseline,2.3407531849363012,0.23645527089458213,0.42721291866028704,4.229129662522202
a2c_mlp_last,5,1418.2,3170.0,351.8,,351.8,baseline,2.23522775349034,0.248060922295868,0.44738170347003153,4.031267765776009
a2c_mlp,5,1408.4,3431.6,355.2,0.5326576576576576,355.2,baseline,2.4365237148537346,0.2522010792388526,0.4104207949644481,3.9650900900900905
grpo_mlp,5,1407.2,3184.4,332.0,0.5144578313253012,332.0,baseline,2.262933484934622,0.2359295054007959,0.44190428338148474,4.23855421686747
grpo_mlp_last,5,1407.2,3184.4,332.0,,332.0,baseline,2.262933484934622,0.2359295054007959,0.44190428338148474,4.23855421686747
train_weakest,5,1109.8,2705.6,322.6,0.4922504649721017,322.6,baseline,2.4379167417552714,0.2906830059470175,0.41018628030751036,3.4401735895846244
ft_quality,3,2227.6666666666665,19629.0,1183.0,0.46836158192090394,1183.0,massive_scale,8.811461918300164,0.5310489301212031,0.11348854585901812,1.8830656522964213
greedy_reward,3,2222.3333333333335,19415.333333333332,1133.6666666666667,,1133.6666666666667,massive_scale,8.736463176841157,0.5101244937753112,0.11446279572846206,1.960305792413996
po_v6_last,3,2210.6666666666665,19490.666666666668,1269.0,,1269.0,massive_scale,8.81664656212304,0.5740349819059107,0.11342180872896428,1.7420541108484369
ft_quality_last,3,2206.6666666666665,19514.666666666668,1175.0,,1175.0,massive_scale,8.843504531722056,0.5324773413897281,0.11307734353648537,1.878014184397163
topsis,3,2197.6666666666665,19239.0,1149.6666666666667,,1149.6666666666667,massive_scale,8.7542848475656,0.5231305930532384,0.11422977632240067,1.9115685706001737
shortest_processing,3,2194.3333333333335,19467.333333333332,1271.0,,1271.0,massive_scale,8.871639070332673,0.579219200972201,0.1127187425088182,1.7264621033307108
ft_fatigue_last,3,2169.3333333333335,19199.333333333332,1139.6666666666667,,1139.6666666666667,massive_scale,8.850338045482482,0.5253534111862324,0.11299003437619363,1.9034805498683827
hc_v6,3,2164.3333333333335,19300.666666666668,1200.6666666666667,0.45628338487489456,1200.6666666666667,massive_scale,8.9176035730787,0.5547512705991067,0.11213774999136472,1.8026096612992781
po_v6,3,2163.3333333333335,19306.666666666668,1275.3333333333333,,1275.3333333333333,massive_scale,8.924499229583976,0.5895223420647149,0.11205110497237569,1.696288552012546
ft_protect_last,3,2161.0,19099.666666666668,1231.3333333333333,,1231.3333333333333,massive_scale,8.838346444547279,0.569797933055684,0.11314333583483131,1.7550081212777477
ft_protect,3,2151.6666666666665,18961.333333333332,1221.0,,1221.0,massive_scale,8.812393493415957,0.567467079783114,0.11347654876590957,1.7622167622167622
ft_fatigue,3,2143.0,19101.666666666668,1167.0,,1167.0,massive_scale,8.913516876652668,0.5445636957536164,0.11218916324928016,1.8363324764353042
ft_gini,3,2127.3333333333335,18952.0,1263.0,,1263.0,massive_scale,8.908806016922593,0.5937010341585709,0.11224848740678206,1.68434943256796
hc_v6_last,3,2120.3333333333335,19011.666666666668,1253.0,,1253.0,massive_scale,8.96635749096054,0.5909448199968558,0.11152800911720873,1.6922053737696197
ft_gini_last,3,2105.6666666666665,18992.0,1249.6666666666667,,1249.6666666666667,massive_scale,9.019471268006965,0.5934779167326263,0.11087124403257512,1.6849826620432113
empirical_spt,3,2097.0,18900.0,1482.6666666666667,0.5575539568345325,1482.6666666666667,massive_scale,9.012875536480687,0.7070418057542521,0.11095238095238096,1.414343525179856
round_robin,3,2044.0,17901.333333333332,1402.3333333333333,0.5374376039933444,1402.3333333333333,massive_scale,8.757990867579908,0.6860730593607306,0.11418143899895726,1.4575707154742097
reserve_specialist,3,2027.0,18851.0,1295.3333333333333,,1295.3333333333333,massive_scale,9.29995066600888,0.6390396316395329,0.10752745212455572,1.5648481729284613
empirical_topsis,3,1963.6666666666667,19093.333333333332,1165.3333333333333,0.4407894736842105,1165.3333333333333,massive_scale,9.723306739093532,0.5934476319809879,0.10284567039106146,1.6850686498855838
batch_milp,3,1766.3333333333333,18809.666666666668,1196.0,0.46237458193979936,1196.0,massive_scale,10.648990375542557,0.6771088884695226,0.09390561590671462,1.4768673355629878
optimal_assignment,3,1766.3333333333333,18809.666666666668,1196.0,,1196.0,massive_scale,10.648990375542557,0.6771088884695226,0.09390561590671462,1.4768673355629878
grpo_mlp_last,3,1735.3333333333333,16502.333333333332,1601.6666666666667,,1601.6666666666667,massive_scale,9.509604302727622,0.9229734921244719,0.10515684650655463,1.0834547346514047
dql_mlp,3,1717.3333333333333,16491.0,1576.6666666666667,0.5911469690361971,1576.6666666666667,massive_scale,9.602678571428571,0.9180900621118013,0.10413761041376103,1.0892177589852008
dql_mlp_last,3,1681.0,16145.0,1562.6666666666667,,1562.6666666666667,massive_scale,9.60440214158239,0.9296053936149118,0.10411892226695571,1.0757252559726962
grpo_mlp,3,1676.3333333333333,16283.0,1607.0,0.6125285210537234,1607.0,massive_scale,9.713461920859018,0.9586398886458541,0.10294990685582099,1.0431445758141464
a2c_mlp,3,1649.0,16021.333333333334,1546.3333333333333,0.5818064237982323,1546.3333333333333,massive_scale,9.715787345866183,0.9377400444713968,0.10292526631158455,1.0663936193145074
random,3,1636.0,16074.666666666666,1346.6666666666667,0.5311881188118812,1346.6666666666667,massive_scale,9.82559087204564,0.8231458842705787,0.10177504976775051,1.2148514851485148
least_busy,3,1566.3333333333333,15644.666666666666,1576.3333333333333,0.5912455064495665,1576.3333333333333,massive_scale,9.988082570759737,1.0063843370929986,0.10011931648698172,0.9936561640938888
a2c_mlp_last,3,1548.3333333333333,15607.333333333334,1487.6666666666667,,1487.6666666666667,massive_scale,10.080086114101185,0.9608180839612488,0.09920550168724103,1.040779744566435
train_weakest,3,1525.0,15595.333333333334,1612.0,0.6160049627791563,1612.0,massive_scale,10.226448087431695,1.0570491803278688,0.09778566237763434,0.9460297766749379
